#Frame      RoG_00001 RoG_00001[Max]
       1      15.5468        28.4386
       2      15.5747        29.0246
       3      15.7374        28.7996
       4      15.7761        29.1457
       5      15.9499        28.1891
       6      15.9508        28.3090
       7      15.6451        27.6781
       8      15.8011        27.4074
       9      16.0712        28.0894
      10      15.9978        27.8602
      11      15.8226        27.9901
      12      15.7305        29.2965
      13      15.6109        30.3112
      14      15.8765        29.1285
      15      15.7135        28.4937
      16      15.8094        28.6384
      17      15.9822        29.7351
      18      15.7958        28.7913
      19      15.5919        28.9472
      20      15.7149        28.0157
      21      15.4745        29.0757
      22      15.7315        28.2945
      23      15.8337        31.1438
      24      15.9526        29.2553
      25      15.9578        29.6864
      26      15.8982        28.6348
      27      15.9263        28.9552
      28      15.9272        29.7255
      29      16.0108        30.1706
      30      15.8297        29.7277
      31      15.9274        28.5477
      32      15.9002        29.9862
      33      15.8837        29.9003
      34      15.8933        30.3292
      35      15.7173        28.8690
      36      15.8356        29.2724
      37      15.7233        28.4175
      38      15.6271        27.6390
      39      15.7572        28.4308
      40      15.5331        28.4547
      41      15.4203        27.6381
      42      15.5641        28.5192
      43      15.8683        29.0720
      44      15.5800        27.3704
      45      15.6265        27.5270
      46      15.5196        27.1445
      47      15.4773        27.1910
      48      15.4944        27.4302
      49      15.6032        27.4564
      50      15.7778        27.9619
      51      15.8109        27.9537
      52      15.9902        28.3223
      53      16.0042        28.6695
      54      15.9953        28.7773
      55      15.8414        28.0471
      56      15.6392        27.1949
      57      15.4929        27.1671
      58      15.7644        29.1310
      59      15.5748        27.5968
      60      15.6620        27.8314
      61      15.5152        27.5716
      62      15.6791        27.4438
      63      15.6577        27.2037
      64      15.9360        29.5424
      65      15.8397        27.6795
      66      15.8380        28.6201
      67      16.1366        28.1826
      68      16.0005        30.1521
      69      15.7984        27.8616
      70      16.1556        28.7667
      71      16.1084        28.6340
      72      15.9931        28.2461
      73      15.9845        28.5996
      74      15.8449        28.1723
      75      15.6791        27.8299
      76      15.7348        27.5976
      77      15.4979        27.5278
      78      15.7488        28.6282
      79      15.8395        28.1677
      80      15.7272        27.8769
      81      15.7263        27.8609
      82      15.7012        27.8789
      83      15.9319        28.2714
      84      15.4577        27.2939
      85      15.6958        27.5842
      86      15.5844        28.3600
      87      15.5303        28.1760
